Rang;Pokemon
4;Shifours (Mille Poings)
5;Boréas (Avatar)
6;Gorythmic
7;Mentali
8;Aquali
9;Angoliath
10;Arcanin (Hisui)
0;Hariyama
1;Chartor
2;Farigiraf
3;Sorcilence
4;Flotte-Mèche
5;Ogerpon (Masque Turquoise)
6;Wimessir (Femelle)
7;Dracolosse
8;Gaulet
9;Yuyu
10;Gouroutan
0;Chapignon
1;Baojian
2;Arcanin (Hisui)
3;Gromago
4;Rugit-Lune
5;Paragruel (Mâle)
6;Boréas (Avatar)
7;Flotte-Mèche
8;Shifours (Mille Poings)
9;Cizayox (Mâle)
10;Dracolosse
0;Beldeneige
1;Blizzaroi (Mâle)
2;Pyrax
3;Boréas (Avatar)
4;Flotte-Mèche
5;Givrali
6;Ogerpon (Masque Turquoise)
7;Hotte-de-Fer
8;Hachécateur
9;Bérasca
10;Mimitoss
0;Cerbyllin
1;Paume-de-Fer
2;Artikodin
3;Flotte-Mèche
4;Baojian
5;Ursaking
6;Amovénus (Totémique)
7;Démétéros (Avatar)
8;Dracolosse
9;Chartor
10;Boréas (Avatar)
0;Ectoplasma
1;Gorythmic
2;Dracolosse
3;Paume-de-Fer
4;Gromago
5;Cizayox (Mâle)
6;Courrousinge
7;Angoliath
8;Flotte-Mèche
9;Léviator (Mâle)
10;Shifours (Mille Poings)
0;Trousselin
1;Flotte-Mèche
2;Démétéros (Totémique)
3;Tritosor (Mer Occident)
4;Yuyu
5;Ogerpon (Masque Turquoise)
6;Gorythmic
7;Shifours (Mille Poings)
8;Heatran
9;Paume-de-Fer
10;Théffroyable (Forme Médiocre)
0;Roue-de-Fer
1;Mite-de-Fer
2;Boréas (Avatar)
3;Ogerpon (Masque Turquoise)
4;Baojian
5;Hotte-de-Fer
6;Tritosor (Mer Occident)
7;Shifours (Mille Poings)
8;Dracolosse
9;Flotte-Mèche
10;Fulguris (Avatar)
0;Archéodong
1;Paume-de-Fer
2;Flotte-Mèche
3;Chartor
4;Ursaking
5;Tritosor (Mer Occident)
6;Baojian
7;Gorythmic
8;Shifours (Mille Poings)
9;Hotte-de-Fer
10;Yuyu
0;Scovilain
1;Grotadmorv (Alola)
2;Flamenroule
3;Angoliath
4;Nymphali
5;Gorythmic
6;Chartor
7;Mentali
8;Flotte-Mèche
9;Cresselia
10;Ogerpon (Masque Turquoise)
0;Balbalèze
1;Blizzaroi (Mâle)
2;Hotte-de-Fer
3;Givrali
4;Flotte-Mèche
5;Shifours (Mille Poings)
6;Paume-de-Fer
7;Artikodin
8;Ogerpon (Masque Turquoise)
9;Démétéros (Totémique)
10;Beldeneige
0;Pohmarmotte
1;Flotte-Mèche
2;Boréas (Avatar)
3;Baojian
4;Dracolosse
5;Gorythmic
6;Ogerpon (Masque Turquoise)
7;Angoliath
8;Cizayox (Mâle)
9;Shifours (Mille Poings)
10;Tritosor (Mer Occident)
0;Rampe-Ailes
1;Boréas (Avatar)
2;Flotte-Mèche
3;Tritosor (Mer Occident)
4;Chartor
5;Gromago
6;Heatran
7;Shifours (Poing Final)
8;Ogerpon (Masque Turquoise)
9;Roigada
10;Baojian
0;Tomberro
1;Tyranocif
2;Ogerpon (Masque Turquoise)
3;Gorythmic
4;Boréas (Avatar)
5;Flotte-Mèche
6;Tritosor (Mer Occident)
7;Carchacrok (Mâle)
8;Lougaroc (Diurne)
9;Gromago
10;Baojian
0;Ampibidou
1;Angoliath
2;Courrousinge
3;Gorythmic
4;Ursaking
5;Blizzaroi (Mâle)
6;Démétéros (Avatar)
7;Cresselia
8;Heatran
9;Beldeneige
10;Charmina (Mâle)
0;Wimessir (Mâle)
1;Carmadura
2;Grodrive
3;Boréas (Avatar)
4;Shifours (Mille Poings)
5;Yuyu
6;Hotte-de-Fer
7;Flotte-Mèche
8;Ogerpon (Masque Turquoise)
9;Blizzaroi (Mâle)
10;Chartor
0;Cotovol
1;Flotte-Mèche
2;Yuyu
3;Chartor
4;Wimessir (Femelle)
5;Shifours (Poing Final)
6;Carmadura
7;Fort-Ivoire
8;Ogerpon (Masque Turquoise)
9;Baojian
10;Tomberro
0;Grodrive
1;Wimessir (Femelle)
2;Flotte-Mèche
3;Wimessir (Mâle)
4;Gorythmic
5;Yuyu
6;Shifours (Mille Poings)
7;Baojian
8;Paume-de-Fer
9;Hotte-de-Fer
10;Oyacata
0;Cléopsytra
1;Boréas (Avatar)
2;Pelage-Sablé
3;Shifours (Mille Poings)
4;Flotte-Mèche
5;Yuyu
6;Hotte-de-Fer
7;Floréclat
8;Virevorreur
9;Sucreine
10;Bekipan
0;Ferdeter
1;Flotte-Mèche
2;Carchacrok (Mâle)
3;Démétéros (Totémique)
4;Ursaking
5;Dracolosse
6;Théffroyable (Forme Médiocre)
7;Wimessir (Femelle)
8;Baojian
9;Ogerpon (Masque Turquoise)
10;Tyranocif
0;Prédastérie
1;Flotte-Mèche
2;Chongjian
3;Dracolosse
4;Cresselia
5;Ogerpon (Masque Turquoise)
6;Yuyu
7;Gorythmic
8;Angoliath
9;Nymphali
10;Heatran
0;Arboliva
1;Angoliath
2;Chartor
3;Tritosor (Mer Occident)
4;Wimessir (Femelle)
5;Flotte-Mèche
6;Cresselia
7;Carmadura
8;Baojian
9;Gromago
10;Oyacata
0;Mentali
1;Nymphali
2;Flamenroule
3;Cizayox (Mâle)
4;Grotadmorv (Alola)
5;Noctali
6;Scovilain
7;Angoliath
8;Aquali
9;Nigirigon
10;Oyacata
0;Berserkatt
1;Gromago
2;Cizayox (Mâle)
3;Shifours (Mille Poings)
4;Baojian
5;Bekipan
6;Heatran
7;Courrousinge
8;Oyacata
9;Flotte-Mèche
10;Ectoplasma
0;Lucario
1;Boréas (Avatar)
2;Famignol
3;Léviator (Mâle)
4;Wimessir (Femelle)
5;Carmadura
6;Ogerpon (Masque Turquoise)
7;Flotte-Mèche
8;Cizayox (Mâle)
9;Baojian
10;Carchacrok (Mâle)
0;Tauros (Aquatique)
1;Flotte-Mèche
2;Gorythmic
3;Dracolosse
4;Ogerpon (Masque Turquoise)
5;Boréas (Avatar)
6;Yuyu
7;Nymphali
8;Gaulet
9;Baojian
10;Fortusimia
0;Roigada
1;Tritosor (Mer Occident)
2;Paume-de-Fer
3;Chartor
4;Shifours (Mille Poings)
5;Blizzaroi (Mâle)
6;Rampe-Ailes
7;Gromago
8;Boréas (Avatar)
9;Hotte-de-Fer
10;Givrali
0;Archéduc
1;Flotte-Mèche
2;Garde-de-Fer
3;Tritosor (Mer Occident)
4;Malvalame
5;Sulfura (Galar)
6;Baojian
7;Shifours (Poing Final)
8;Gromago
9;Arcanin
10;Hotte-de-Fer
0;Magnézone
1;Flotte-Mèche
2;Dracolosse
3;Gorythmic
4;Baojian
5;Ursaking
6;Boréas (Avatar)
7;Famignol
8;Carchacrok (Mâle)
9;Shifours (Mille Poings)
10;Hotte-de-Fer
0;Paragruel (Femelle)
1;Bekipan
2;Ogerpon (Masque Turquoise)
3;Boréas (Avatar)
4;Gorythmic
5;Tritosor (Mer Occident)
6;Coatox (Mâle)
7;Flotte-Mèche
8;Shifours (Mille Poings)
9;Baojian
10;Dracolosse
0;Charmina (Mâle)
1;Virevorreur
2;Blizzaroi (Mâle)
3;Givrali
4;Ténéfix
5;Flamenroule
6;Grotadmorv (Alola)
7;Beldeneige
8;Ampibidou
9;Gorythmic
10;Arcanin (Hisui)
0;Fragilady
1;Chartor
2;Flotte-Mèche
3;Wimessir (Femelle)
4;Paume-de-Fer
5;Cresselia
6;Carmadura
7;Angoliath
8;Dracaufeu
9;Fort-Ivoire
10;Ursaking
0;Raichu
1;Shifours (Mille Poings)
2;Flotte-Mèche
3;Bekipan
4;Ogerpon (Masque Turquoise)
5;Baojian
6;Dracolosse
7;Gorythmic
8;Boréas (Avatar)
9;Démétéros (Totémique)
10;Farigiraf
0;Epine-de-Fer
1;Flotte-Mèche
2;Yuyu
3;Luminéon
4;Boréas (Avatar)
5;Théffroyable (Forme Médiocre)
6;Donp
7;Ferdeter
8;Motisma (Chaleur)
9;Miascarade
10;Muplodocus (Hisui)
0;Motisma (Chaleur)
1;Dracolosse
2;Tritosor (Mer Occident)
3;Angoliath
4;Flotte-Mèche
5;Nymphali
6;Glaivodo
7;Kravarech
8;Pohmarmotte
9;Théffroyable (Forme Médiocre)
10;Gromago
0;Muplodocus
1;Cizayox (Mâle)
2;Miascarade
3;Tyranocif
4;Carmadura
5;Angoliath
6;Gardevoir
7;Wimessir (Femelle)
8;Léviator (Mâle)
9;Ogerpon (Masque Turquoise)
10;Mimiqui
0;Terraiste
1;Angoliath
2;Ogerpon (Masque Turquoise)
3;Baojian
4;Flotte-Mèche
5;Cresselia
6;Muplodocus (Hisui)
7;Gigansel
8;Dinglu
9;Dracolosse
10;Paume-de-Fer
