"P1";"P2";"Vainqueur"
"Pachirisu (Mâle)";"Créfollet";"Pachirisu (Mâle)"
"Darkrai";"Arceus (Normal)";"Arceus (Normal)"
"Tritosor (Mer Orient)";"Corboss";"Tritosor (Mer Orient)"
"Capidextre (Femelle)";"Pijako";"Pijako"
"Pijako";"Tarinorme";"Pijako"
"Mammochon (Mâle)";"Créfollet";"Mammochon (Mâle)"
"Pachirisu (Mâle)";"Lockpin";"Pachirisu (Mâle)"
"Capidextre (Femelle)";"Gallame";"Gallame"
"Grodrive";"Regigigas";"Regigigas"
"Bastiodon";"Carchacrok (Mâle)";"Carchacrok (Mâle)"
"Bouldeneu (Femelle)";"Darkrai";"Bouldeneu (Femelle)"
"Lucario";"Rhinastoc (Mâle)";"Lucario"
"Capidextre (Femelle)";"Blizzaroi (Femelle)";"Blizzaroi (Femelle)"
"Chaffreux";"Pijako";"Pijako"
"Pijako";"Heatran";"Pijako"
"Porygon-Z";"Gallame";"Gallame"
"Drascore";"Togekiss";"Togekiss"
"Lockpin";"Arceus (Normal)";"Arceus (Normal)"
"Tritosor (Mer Orient)";"Bouldeneu (Femelle)";"Tritosor (Mer Orient)"
"Luxray (Mâle)";"Capidextre (Femelle)";"Luxray (Mâle)"
"Scorvol";"Motisma (Hélice)";"Motisma (Hélice)"
"Spiritomb";"Gallame";"Gallame"
"Corboss";"Mammochon (Mâle)";"Corboss"
"Capidextre (Femelle)";"Moufflair";"Moufflair"
"Magirêve";"Elekable";"Elekable"
"Luxray (Mâle)";"Roserade (Femelle)";"Luxray (Mâle)"
"Corboss";"Luminéon (Femelle)";"Luminéon (Femelle)"
"Roserade (Femelle)";"Luminéon (Femelle)";"Luminéon (Femelle)"
"Phyllali";"Heatran";"Phyllali"
"Givrali";"Dialga";"Dialga"
"Blizzaroi (Femelle)";"Arceus (Normal)";"Arceus (Normal)"
"Maganon";"Créhelf";"Créhelf"
"Mustéflott (Mâle)";"Créhelf";"Mustéflott (Mâle)"
"Apireine";"Tarinorme";"Apireine"
"Mélokrik (Femelle)";"Lockpin";"Lockpin"
"Moufflair";"Pijako";"Pijako"
"Charkos";"Tritosor (Mer Orient)";"Tritosor (Mer Orient)"
"Roserade (Femelle)";"Charkos";"Roserade (Femelle)"
"Bouldeneu (Femelle)";"Heatran";"Heatran"
"Cheniselle (Cape Sable)";"Coudlangue";"Cheniselle (Cape Sable)"
"Moufflair";"Givrali";"Givrali"
"Mustéflott (Mâle)";"Giratina";"Mustéflott (Mâle)"
"Charkos";"Cheniselle (Cape Sable)";"Charkos"
"Motisma (Hélice)";"Créhelf";"Motisma (Hélice)"
"Luxray (Mâle)";"Pachirisu (Mâle)";"Luxray (Mâle)"
"Noctunoir";"Phione";"Phione"
"Tritosor (Mer Orient)";"Dimoret (Mâle)";"Tritosor (Mer Orient)"
"Torterra";"Tarinorme";"Torterra"
"Drascore";"Arceus (Normal)";"Arceus (Normal)"
"Archéodong";"Scorvol";"Scorvol"
"Elekable";"Dialga";"Dialga"
"Givrali";"Manaphy";"Givrali"
"Mustéflott (Mâle)";"Magirêve";"Mustéflott (Mâle)"
"Corboss";"Elekable";"Elekable"
"Cheniselle (Cape Sable)";"Archéodong";"Cheniselle (Cape Sable)"
"Pachirisu (Mâle)";"Arceus (Normal)";"Arceus (Normal)"
"Lockpin";"Lucario";"Lucario"
"Papilord";"Porygon-Z";"Porygon-Z"
"Bastiodon";"Elekable";"Elekable"
"Chaffreux";"Moufflair";"Chaffreux"
"Papilord";"Momartik";"Momartik"
"Pijako";"Dimoret (Mâle)";"Dimoret (Mâle)"
"Apireine";"Créfollet";"Apireine"
"Dimoret (Mâle)";"Porygon-Z";"Dimoret (Mâle)"
"Chaffreux";"Tarinorme";"Chaffreux"
"Noctunoir";"Motisma (Hélice)";"Motisma (Hélice)"
"Mustéflott (Mâle)";"Porygon-Z";"Mustéflott (Mâle)"
"Etouraptor (Mâle)";"Noctunoir";"Etouraptor (Mâle)"
"Créhelf";"Cresselia";"Cresselia"
"Roserade (Femelle)";"Heatran";"Roserade (Femelle)"
"Dimoret (Mâle)";"Arceus (Normal)";"Dimoret (Mâle)"
"Rhinastoc (Mâle)";"Manaphy";"Rhinastoc (Mâle)"
"Cheniselle (Cape Sable)";"Gallame";"Gallame"
"Mélokrik (Femelle)";"Spiritomb";"Spiritomb"
"Coatox (Mâle)";"Blizzaroi (Femelle)";"Coatox (Mâle)"
"Coatox (Mâle)";"Porygon-Z";"Porygon-Z"
"Yanméga";"Regigigas";"Yanméga"
"Givrali";"Gallame";"Givrali"
"Torterra";"Maganon";"Torterra"
"Momartik";"Créfadet";"Momartik"
"Corboss";"Regigigas";"Regigigas"
"Apireine";"Coatox (Mâle)";"Coatox (Mâle)"
"Bouldeneu (Femelle)";"Togekiss";"Bouldeneu (Femelle)"
"Mélokrik (Femelle)";"Carchacrok (Mâle)";"Carchacrok (Mâle)"
"Vortente";"Givrali";"Givrali"
"Pingoléon";"Bastiodon";"Pingoléon"
"Phyllali";"Tarinorme";"Phyllali"
"Grodrive";"Gallame";"Gallame"
"Etouraptor (Mâle)";"Mammochon (Mâle)";"Etouraptor (Mâle)"
"Simiabraz";"Chaffreux";"Chaffreux"
"Blizzaroi (Femelle)";"Heatran";"Blizzaroi (Femelle)"
"Cheniselle (Cape Sable)";"Togekiss";"Cheniselle (Cape Sable)"
"Apireine";"Capidextre (Femelle)";"Apireine"
"Coatox (Mâle)";"Giratina";"Coatox (Mâle)"
"Lockpin";"Carchacrok (Mâle)";"Lockpin"
"Pijako";"Togekiss";"Togekiss"
"Coudlangue";"Gallame";"Gallame"
"Charkos";"Yanméga";"Yanméga"
"Spiritomb";"Coatox (Mâle)";"Coatox (Mâle)"
"Tritosor (Mer Orient)";"Phione";"Tritosor (Mer Orient)"
"Tritosor (Mer Orient)";"Dialga";"Tritosor (Mer Orient)"
"Bastiodon";"Papilord";"Papilord"
"Castorno (Femelle)";"Dialga";"Dialga"
"Créfadet";"Arceus (Normal)";"Créfadet"
"Bastiodon";"Maganon";"Bastiodon"
"Luxray (Mâle)";"Scorvol";"Luxray (Mâle)"
"Chaffreux";"Créhelf";"Créhelf"
"Pachirisu (Mâle)";"Corboss";"Pachirisu (Mâle)"
"Torterra";"Phione";"Phione"
"Torterra";"Mammochon (Mâle)";"Torterra"
"Tarinorme";"Arceus (Normal)";"Arceus (Normal)"
"Dialga";"Regigigas";"Dialga"
"Simiabraz";"Drascore";"Drascore"
"Gallame";"Arceus (Normal)";"Gallame"
"Momartik";"Créhelf";"Momartik"
"Grodrive";"Bouldeneu (Femelle)";"Grodrive"
"Mélokrik (Femelle)";"Darkrai";"Mélokrik (Femelle)"
"Luxray (Mâle)";"Darkrai";"Luxray (Mâle)"
"Carchacrok (Mâle)";"Momartik";"Momartik"
"Luminéon (Femelle)";"Arceus (Normal)";"Arceus (Normal)"
"Luxray (Mâle)";"Togekiss";"Luxray (Mâle)"
"Porygon-Z";"Giratina";"Porygon-Z"
"Chaffreux";"Heatran";"Heatran"
"Vortente";"Phyllali";"Phyllali"
"Scorvol";"Tarinorme";"Scorvol"
"Elekable";"Darkrai";"Elekable"
"Moufflair";"Coudlangue";"Coudlangue"
"Pingoléon";"Drascore";"Pingoléon"
"Magirêve";"Carchacrok (Mâle)";"Magirêve"
"Moufflair";"Momartik";"Momartik"
"Drascore";"Porygon-Z";"Porygon-Z"
"Palkia";"Giratina";"Giratina"
"Carchacrok (Mâle)";"Regigigas";"Regigigas"
"Castorno (Femelle)";"Manaphy";"Manaphy"
"Roserade (Femelle)";"Dialga";"Dialga"
"Luminéon (Femelle)";"Givrali";"Givrali"
"Spiritomb";"Créhelf";"Spiritomb"
"Pingoléon";"Rhinastoc (Mâle)";"Rhinastoc (Mâle)"
"Apireine";"Archéodong";"Apireine"
"Papilord";"Yanméga";"Yanméga"
"Cheniselle (Cape Sable)";"Phione";"Phione"
"Coudlangue";"Darkrai";"Coudlangue"
"Pingoléon";"Mélokrik (Femelle)";"Pingoléon"
"Mustéflott (Mâle)";"Rhinastoc (Mâle)";"Mustéflott (Mâle)"
"Hippodocus (Femelle)";"Créfadet";"Hippodocus (Femelle)"
"Motisma (Hélice)";"Heatran";"Motisma (Hélice)"
"Castorno (Femelle)";"Chaffreux";"Chaffreux"
"Archéodong";"Luminéon (Femelle)";"Luminéon (Femelle)"
"Vortente";"Blizzaroi (Femelle)";"Blizzaroi (Femelle)"
"Phyllali";"Créfadet";"Phyllali"
"Luminéon (Femelle)";"Coudlangue";"Luminéon (Femelle)"
"Maganon";"Gallame";"Gallame"
"Torterra";"Mustéflott (Mâle)";"Mustéflott (Mâle)"
"Castorno (Femelle)";"Givrali";"Givrali"
"Charkos";"Archéodong";"Charkos"
"Rhinastoc (Mâle)";"Regigigas";"Rhinastoc (Mâle)"
"Bouldeneu (Femelle)";"Regigigas";"Regigigas"
"Lockpin";"Dimoret (Mâle)";"Dimoret (Mâle)"
"Pingoléon";"Créfadet";"Créfadet"
"Regigigas";"Cresselia";"Cresselia"
"Lockpin";"Heatran";"Heatran"
"Archéodong";"Dimoret (Mâle)";"Dimoret (Mâle)"
"Mélokrik (Femelle)";"Coatox (Mâle)";"Coatox (Mâle)"
"Phyllali";"Givrali";"Givrali"
"Yanméga";"Dialga";"Dialga"
"Torterra";"Capidextre (Femelle)";"Torterra"
"Pingoléon";"Porygon-Z";"Porygon-Z"
"Mélokrik (Femelle)";"Maganon";"Mélokrik (Femelle)"
"Archéodong";"Spiritomb";"Spiritomb"
"Apireine";"Regigigas";"Regigigas"
"Archéodong";"Porygon-Z";"Porygon-Z"
"Tritosor (Mer Orient)";"Magirêve";"Tritosor (Mer Orient)"
"Etouraptor (Mâle)";"Coudlangue";"Etouraptor (Mâle)"
"Lucario";"Elekable";"Lucario"
"Carchacrok (Mâle)";"Rhinastoc (Mâle)";"Rhinastoc (Mâle)"
"Mustéflott (Mâle)";"Dimoret (Mâle)";"Mustéflott (Mâle)"
"Torterra";"Coudlangue";"Torterra"
"Dimoret (Mâle)";"Regigigas";"Dimoret (Mâle)"
"Blizzaroi (Femelle)";"Regigigas";"Regigigas"
"Carchacrok (Mâle)";"Tarinorme";"Tarinorme"
"Etouraptor (Mâle)";"Elekable";"Elekable"
"Giratina";"Cresselia";"Cresselia"
"Phyllali";"Scorvol";"Phyllali"
"Phyllali";"Créfollet";"Phyllali"
"Papilord";"Cresselia";"Cresselia"
"Vortente";"Heatran";"Heatran"
"Papilord";"Bouldeneu (Femelle)";"Papilord"
"Tritosor (Mer Orient)";"Momartik";"Tritosor (Mer Orient)"
"Etouraptor (Mâle)";"Yanméga";"Yanméga"
"Lucario";"Arceus (Normal)";"Lucario"
"Coatox (Mâle)";"Maganon";"Coatox (Mâle)"
"Hippodocus (Femelle)";"Togekiss";"Hippodocus (Femelle)"
"Pachirisu (Mâle)";"Phyllali";"Phyllali"
"Moufflair";"Yanméga";"Yanméga"
"Cheniselle (Cape Sable)";"Créhelf";"Créhelf"
"Luxray (Mâle)";"Charkos";"Luxray (Mâle)"
"Elekable";"Phyllali";"Phyllali"
"Mélokrik (Femelle)";"Blizzaroi (Femelle)";"Blizzaroi (Femelle)"
"Coatox (Mâle)";"Rhinastoc (Mâle)";"Rhinastoc (Mâle)"
"Charkos";"Créfadet";"Créfadet"
"Givrali";"Scorvol";"Givrali"
"Moufflair";"Darkrai";"Moufflair"
"Capidextre (Femelle)";"Coatox (Mâle)";"Coatox (Mâle)"
"Chaffreux";"Vortente";"Chaffreux"
"Etouraptor (Mâle)";"Pachirisu (Mâle)";"Etouraptor (Mâle)"
"Hippodocus (Femelle)";"Arceus (Normal)";"Hippodocus (Femelle)"
"Pachirisu (Mâle)";"Vortente";"Pachirisu (Mâle)"
"Pingoléon";"Luminéon (Femelle)";"Pingoléon"
"Vortente";"Arceus (Normal)";"Arceus (Normal)"
"Coudlangue";"Cresselia";"Cresselia"
"Coatox (Mâle)";"Shaymin (Terrestre)";"Coatox (Mâle)"
"Yanméga";"Giratina";"Yanméga"
"Grodrive";"Magirêve";"Magirêve"
"Lockpin";"Giratina";"Giratina"
"Castorno (Femelle)";"Grodrive";"Grodrive"
"Simiabraz";"Palkia";"Simiabraz"
"Grodrive";"Palkia";"Grodrive"
"Luminéon (Femelle)";"Créfadet";"Créfadet"
"Giratina";"Darkrai";"Giratina"
"Papilord";"Mustéflott (Mâle)";"Mustéflott (Mâle)"
"Phyllali";"Palkia";"Phyllali"
"Pingoléon";"Hippodocus (Femelle)";"Hippodocus (Femelle)"
"Porygon-Z";"Phione";"Porygon-Z"
"Coatox (Mâle)";"Scorvol";"Coatox (Mâle)"
"Elekable";"Noctunoir";"Elekable"
"Archéodong";"Arceus (Normal)";"Arceus (Normal)"
"Scorvol";"Créfadet";"Créfadet"
"Corboss";"Togekiss";"Corboss"
"Moufflair";"Luminéon (Femelle)";"Luminéon (Femelle)"
"Bastiodon";"Heatran";"Heatran"
"Yanméga";"Gallame";"Yanméga"
"Noctunoir";"Cresselia";"Cresselia"
"Simiabraz";"Etouraptor (Mâle)";"Etouraptor (Mâle)"
"Etouraptor (Mâle)";"Luminéon (Femelle)";"Etouraptor (Mâle)"
"Spiritomb";"Tarinorme";"Spiritomb"
"Tritosor (Mer Orient)";"Hippodocus (Femelle)";"Tritosor (Mer Orient)"
"Apireine";"Bouldeneu (Femelle)";"Apireine"
"Coatox (Mâle)";"Palkia";"Coatox (Mâle)"
"Coatox (Mâle)";"Phyllali";"Phyllali"
"Magnézone";"Shaymin (Terrestre)";"Shaymin (Terrestre)"
"Motisma (Hélice)";"Créfollet";"Motisma (Hélice)"
"Phione";"Manaphy";"Phione"
"Bastiodon";"Tarinorme";"Tarinorme"
"Drascore";"Gallame";"Gallame"
"Hippodocus (Femelle)";"Blizzaroi (Femelle)";"Hippodocus (Femelle)"
"Bouldeneu (Femelle)";"Porygon-Z";"Porygon-Z"
"Luxray (Mâle)";"Gallame";"Luxray (Mâle)"
"Coudlangue";"Momartik";"Momartik"
"Carchacrok (Mâle)";"Yanméga";"Yanméga"
"Apireine";"Lockpin";"Apireine"
"Bouldeneu (Femelle)";"Créfollet";"Bouldeneu (Femelle)"
"Pijako";"Scorvol";"Pijako"
"Chaffreux";"Créfadet";"Créfadet"
"Torterra";"Noctunoir";"Noctunoir"
"Torterra";"Créhelf";"Torterra"
"Castorno (Femelle)";"Bastiodon";"Bastiodon"
"Lockpin";"Regigigas";"Lockpin"
"Hippodocus (Femelle)";"Noctunoir";"Hippodocus (Femelle)"
"Togekiss";"Yanméga";"Yanméga"
"Simiabraz";"Yanméga";"Yanméga"
"Pijako";"Maganon";"Pijako"
"Momartik";"Giratina";"Momartik"
"Scorvol";"Darkrai";"Scorvol"
"Pachirisu (Mâle)";"Chaffreux";"Pachirisu (Mâle)"
"Givrali";"Cresselia";"Givrali"
"Hippodocus (Femelle)";"Drascore";"Hippodocus (Femelle)"
"Hippodocus (Femelle)";"Dialga";"Dialga"
"Magirêve";"Rhinastoc (Mâle)";"Rhinastoc (Mâle)"
"Corboss";"Cresselia";"Cresselia"
"Bastiodon";"Moufflair";"Bastiodon"
"Roserade (Femelle)";"Magirêve";"Roserade (Femelle)"
"Momartik";"Heatran";"Momartik"
"Lockpin";"Motisma (Hélice)";"Motisma (Hélice)"
"Simiabraz";"Castorno (Femelle)";"Simiabraz"
"Cheniselle (Cape Sable)";"Scorvol";"Cheniselle (Cape Sable)"
"Etouraptor (Mâle)";"Chaffreux";"Etouraptor (Mâle)"
"Tarinorme";"Créfadet";"Créfadet"
"Simiabraz";"Maganon";"Simiabraz"
"Coatox (Mâle)";"Créhelf";"Coatox (Mâle)"
"Magirêve";"Créfollet";"Magirêve"
"Lucario";"Luminéon (Femelle)";"Lucario"
"Simiabraz";"Charkos";"Charkos"
"Créhelf";"Créfollet";"Créhelf"
"Apireine";"Palkia";"Apireine"
"Carchacrok (Mâle)";"Noctunoir";"Noctunoir"
"Castorno (Femelle)";"Pijako";"Pijako"
"Capidextre (Femelle)";"Momartik";"Momartik"
"Etouraptor (Mâle)";"Magirêve";"Etouraptor (Mâle)"
"Yanméga";"Noctunoir";"Yanméga"
"Coudlangue";"Maganon";"Coudlangue"
"Dialga";"Giratina";"Dialga"
"Torterra";"Shaymin (Terrestre)";"Shaymin (Terrestre)"
"Blizzaroi (Femelle)";"Givrali";"Givrali"
"Coatox (Mâle)";"Cresselia";"Cresselia"
"Lucario";"Giratina";"Lucario"
"Torterra";"Roserade (Femelle)";"Roserade (Femelle)"
"Dimoret (Mâle)";"Yanméga";"Dimoret (Mâle)"
"Magnézone";"Togekiss";"Togekiss"
"Maganon";"Arceus (Normal)";"Arceus (Normal)"
"Moufflair";"Créfadet";"Créfadet"
"Luxray (Mâle)";"Papilord";"Luxray (Mâle)"
"Capidextre (Femelle)";"Cresselia";"Cresselia"
"Simiabraz";"Apireine";"Apireine"
"Corboss";"Porygon-Z";"Porygon-Z"
"Givrali";"Regigigas";"Givrali"
"Apireine";"Scorvol";"Scorvol"
"Pijako";"Luminéon (Femelle)";"Pijako"
"Pingoléon";"Cresselia";"Cresselia"
"Pijako";"Manaphy";"Pijako"
"Cheniselle (Cape Sable)";"Giratina";"Giratina"
"Capidextre (Femelle)";"Heatran";"Heatran"
"Hippodocus (Femelle)";"Maganon";"Hippodocus (Femelle)"
"Torterra";"Créfadet";"Créfadet"
"Regigigas";"Darkrai";"Regigigas"
"Cheniselle (Cape Sable)";"Blizzaroi (Femelle)";"Blizzaroi (Femelle)"
"Charkos";"Manaphy";"Manaphy"
"Chaffreux";"Coudlangue";"Chaffreux"
"Apireine";"Luminéon (Femelle)";"Apireine"
"Créfadet";"Cresselia";"Créfadet"
"Etouraptor (Mâle)";"Tarinorme";"Etouraptor (Mâle)"
"Grodrive";"Giratina";"Giratina"
"Roserade (Femelle)";"Coudlangue";"Roserade (Femelle)"
"Tritosor (Mer Orient)";"Capidextre (Femelle)";"Tritosor (Mer Orient)"
"Apireine";"Yanméga";"Yanméga"
"Torterra";"Corboss";"Torterra"
"Pachirisu (Mâle)";"Cresselia";"Pachirisu (Mâle)"
"Mustéflott (Mâle)";"Togekiss";"Mustéflott (Mâle)"
"Bastiodon";"Coudlangue";"Bastiodon"
"Cheniselle (Cape Sable)";"Rhinastoc (Mâle)";"Rhinastoc (Mâle)"
"Vortente";"Créfollet";"Créfollet"
"Cresselia";"Manaphy";"Cresselia"
"Blizzaroi (Femelle)";"Mammochon (Mâle)";"Blizzaroi (Femelle)"
"Chaffreux";"Drascore";"Drascore"
"Cheniselle (Cape Sable)";"Capidextre (Femelle)";"Cheniselle (Cape Sable)"
"Blizzaroi (Femelle)";"Porygon-Z";"Porygon-Z"
"Scorvol";"Manaphy";"Manaphy"
"Apireine";"Noctunoir";"Noctunoir"
"Motisma (Hélice)";"Cresselia";"Motisma (Hélice)"
"Apireine";"Hippodocus (Femelle)";"Hippodocus (Femelle)"
"Mustéflott (Mâle)";"Gallame";"Mustéflott (Mâle)"
"Blizzaroi (Femelle)";"Manaphy";"Manaphy"
"Momartik";"Darkrai";"Momartik"
"Rhinastoc (Mâle)";"Phyllali";"Phyllali"
"Givrali";"Noctunoir";"Givrali"
"Capidextre (Femelle)";"Scorvol";"Scorvol"
"Pijako";"Arceus (Normal)";"Arceus (Normal)"
"Drascore";"Coatox (Mâle)";"Coatox (Mâle)"
"Papilord";"Spiritomb";"Papilord"
"Mélokrik (Femelle)";"Grodrive";"Grodrive"
"Dimoret (Mâle)";"Darkrai";"Dimoret (Mâle)"
"Etouraptor (Mâle)";"Corboss";"Etouraptor (Mâle)"
"Créhelf";"Palkia";"Créhelf"
"Mustéflott (Mâle)";"Spiritomb";"Mustéflott (Mâle)"
"Mustéflott (Mâle)";"Tarinorme";"Mustéflott (Mâle)"
"Drascore";"Cresselia";"Cresselia"
"Pijako";"Dialga";"Dialga"
"Spiritomb";"Mammochon (Mâle)";"Spiritomb"
"Lockpin";"Mammochon (Mâle)";"Mammochon (Mâle)"
"Luminéon (Femelle)";"Tarinorme";"Luminéon (Femelle)"
"Capidextre (Femelle)";"Créfadet";"Créfadet"
"Magirêve";"Togekiss";"Magirêve"
"Dimoret (Mâle)";"Shaymin (Terrestre)";"Dimoret (Mâle)"
"Simiabraz";"Pijako";"Pijako"
"Hippodocus (Femelle)";"Phione";"Hippodocus (Femelle)"
"Simiabraz";"Dialga";"Dialga"
"Mélokrik (Femelle)";"Givrali";"Givrali"
"Apireine";"Heatran";"Heatran"
"Momartik";"Regigigas";"Momartik"
"Archéodong";"Magnézone";"Magnézone"
"Lockpin";"Magnézone";"Lockpin"
"Spiritomb";"Maganon";"Spiritomb"
"Archéodong";"Bouldeneu (Femelle)";"Archéodong"
"Archéodong";"Créfollet";"Archéodong"
"Maganon";"Givrali";"Givrali"
"Etouraptor (Mâle)";"Créhelf";"Etouraptor (Mâle)"
"Palkia";"Darkrai";"Darkrai"
"Grodrive";"Moufflair";"Grodrive"
"Pingoléon";"Phione";"Phione"
"Archéodong";"Regigigas";"Regigigas"
"Lucario";"Heatran";"Lucario"
"Togekiss";"Phione";"Phione"
"Apireine";"Shaymin (Terrestre)";"Apireine"
"Luminéon (Femelle)";"Bouldeneu (Femelle)";"Luminéon (Femelle)"
"Luminéon (Femelle)";"Créhelf";"Créhelf"
"Mustéflott (Mâle)";"Grodrive";"Mustéflott (Mâle)"
"Corboss";"Momartik";"Momartik"
"Apireine";"Pijako";"Pijako"
"Créfadet";"Darkrai";"Créfadet"
"Spiritomb";"Yanméga";"Yanméga"
"Simiabraz";"Luminéon (Femelle)";"Luminéon (Femelle)"
"Magirêve";"Regigigas";"Magirêve"
"Bastiodon";"Rhinastoc (Mâle)";"Rhinastoc (Mâle)"
"Bouldeneu (Femelle)";"Phyllali";"Phyllali"
"Drascore";"Créfadet";"Créfadet"
"Luminéon (Femelle)";"Shaymin (Terrestre)";"Luminéon (Femelle)"
"Bastiodon";"Motisma (Hélice)";"Motisma (Hélice)"
"Spiritomb";"Momartik";"Momartik"
"Etouraptor (Mâle)";"Pijako";"Etouraptor (Mâle)"
"Palkia";"Arceus (Normal)";"Arceus (Normal)"
"Luxray (Mâle)";"Givrali";"Givrali"
"Torterra";"Yanméga";"Yanméga"
"Pingoléon";"Blizzaroi (Femelle)";"Pingoléon"
"Capidextre (Femelle)";"Elekable";"Elekable"
"Simiabraz";"Corboss";"Corboss"
"Mélokrik (Femelle)";"Momartik";"Momartik"
"Créhelf";"Dialga";"Dialga"
"Grodrive";"Lockpin";"Lockpin"
"Etouraptor (Mâle)";"Lucario";"Lucario"
"Coatox (Mâle)";"Regigigas";"Coatox (Mâle)"
"Mustéflott (Mâle)";"Magnézone";"Mustéflott (Mâle)"
"Coudlangue";"Rhinastoc (Mâle)";"Rhinastoc (Mâle)"
"Togekiss";"Créfollet";"Togekiss"
"Cheniselle (Cape Sable)";"Magnézone";"Cheniselle (Cape Sable)"
"Rhinastoc (Mâle)";"Gallame";"Gallame"
"Mélokrik (Femelle)";"Vortente";"Vortente"
"Chaffreux";"Archéodong";"Chaffreux"
"Scorvol";"Shaymin (Terrestre)";"Shaymin (Terrestre)"
"Simiabraz";"Vortente";"Simiabraz"
"Archéodong";"Lucario";"Lucario"
"Castorno (Femelle)";"Drascore";"Drascore"
"Créfollet";"Giratina";"Giratina"
"Vortente";"Mammochon (Mâle)";"Vortente"
"Gallame";"Noctunoir";"Gallame"
"Roserade (Femelle)";"Carchacrok (Mâle)";"Roserade (Femelle)"
"Roserade (Femelle)";"Arceus (Normal)";"Arceus (Normal)"
"Dimoret (Mâle)";"Noctunoir";"Dimoret (Mâle)"
"Motisma (Hélice)";"Giratina";"Motisma (Hélice)"
"Torterra";"Arceus (Normal)";"Arceus (Normal)"
"Magirêve";"Vortente";"Magirêve"
"Roserade (Femelle)";"Motisma (Hélice)";"Motisma (Hélice)"
"Hippodocus (Femelle)";"Heatran";"Hippodocus (Femelle)"
"Charkos";"Créfollet";"Charkos"
"Capidextre (Femelle)";"Phione";"Phione"
"Cheniselle (Cape Sable)";"Drascore";"Cheniselle (Cape Sable)"
"Lockpin";"Noctunoir";"Lockpin"
"Créfollet";"Arceus (Normal)";"Arceus (Normal)"
"Apireine";"Arceus (Normal)";"Arceus (Normal)"
"Lockpin";"Archéodong";"Lockpin"
"Castorno (Femelle)";"Mustéflott (Mâle)";"Mustéflott (Mâle)"
"Mélokrik (Femelle)";"Créhelf";"Créhelf"
"Moufflair";"Noctunoir";"Noctunoir"
"Castorno (Femelle)";"Magirêve";"Magirêve"
"Simiabraz";"Mustéflott (Mâle)";"Mustéflott (Mâle)"
"Simiabraz";"Bouldeneu (Femelle)";"Simiabraz"
"Papilord";"Lucario";"Lucario"
"Etouraptor (Mâle)";"Bouldeneu (Femelle)";"Etouraptor (Mâle)"
"Simiabraz";"Coudlangue";"Simiabraz"
"Papilord";"Darkrai";"Papilord"
"Charkos";"Noctunoir";"Noctunoir"
"Phyllali";"Noctunoir";"Phyllali"
"Carchacrok (Mâle)";"Blizzaroi (Femelle)";"Blizzaroi (Femelle)"
"Archéodong";"Gallame";"Gallame"
"Yanméga";"Phione";"Yanméga"
"Lucario";"Drascore";"Lucario"
"Pingoléon";"Motisma (Hélice)";"Motisma (Hélice)"
"Torterra";"Charkos";"Torterra"
"Mélokrik (Femelle)";"Tritosor (Mer Orient)";"Tritosor (Mer Orient)"
"Yanméga";"Motisma (Hélice)";"Yanméga"
"Charkos";"Momartik";"Momartik"
"Rhinastoc (Mâle)";"Darkrai";"Rhinastoc (Mâle)"
"Castorno (Femelle)";"Spiritomb";"Spiritomb"
"Hippodocus (Femelle)";"Bouldeneu (Femelle)";"Hippodocus (Femelle)"
"Pingoléon";"Cheniselle (Cape Sable)";"Cheniselle (Cape Sable)"
"Simiabraz";"Bastiodon";"Simiabraz"
"Grodrive";"Drascore";"Drascore"
"Pijako";"Mammochon (Mâle)";"Pijako"
"Créfadet";"Regigigas";"Créfadet"
"Papilord";"Giratina";"Papilord"
"Elekable";"Shaymin (Terrestre)";"Elekable"
"Luxray (Mâle)";"Apireine";"Luxray (Mâle)"
"Pijako";"Bouldeneu (Femelle)";"Pijako"
"Carchacrok (Mâle)";"Giratina";"Giratina"
"Mélokrik (Femelle)";"Mustéflott (Mâle)";"Mustéflott (Mâle)"
"Bastiodon";"Yanméga";"Yanméga"
"Regigigas";"Giratina";"Giratina"
"Pachirisu (Mâle)";"Créfadet";"Pachirisu (Mâle)"
"Porygon-Z";"Palkia";"Porygon-Z"
"Simiabraz";"Porygon-Z";"Porygon-Z"
"Luxray (Mâle)";"Luminéon (Femelle)";"Luxray (Mâle)"
"Simiabraz";"Mammochon (Mâle)";"Simiabraz"
"Pachirisu (Mâle)";"Spiritomb";"Pachirisu (Mâle)"
"Tritosor (Mer Orient)";"Gallame";"Tritosor (Mer Orient)"
"Mélokrik (Femelle)";"Corboss";"Corboss"
"Palkia";"Heatran";"Heatran"
"Luxray (Mâle)";"Yanméga";"Yanméga"
"Lucario";"Créhelf";"Lucario"
"Togekiss";"Palkia";"Togekiss"
"Bastiodon";"Phione";"Phione"
"Roserade (Femelle)";"Dimoret (Mâle)";"Dimoret (Mâle)"
"Spiritomb";"Noctunoir";"Noctunoir"
"Lockpin";"Manaphy";"Manaphy"
"Blizzaroi (Femelle)";"Phione";"Phione"
"Coatox (Mâle)";"Gallame";"Gallame"
"Bastiodon";"Givrali";"Givrali"
"Torterra";"Blizzaroi (Femelle)";"Torterra"
"Tritosor (Mer Orient)";"Luminéon (Femelle)";"Tritosor (Mer Orient)"
"Drascore";"Blizzaroi (Femelle)";"Drascore"
"Magirêve";"Créhelf";"Magirêve"
"Pingoléon";"Regigigas";"Pingoléon"
